pc01_state_id,pc01_district_id,pc01_subdistrict_id,pc01_vd_area,pc01_vd_t_hh,pc01_vd_t_p,pc01_vd_t_m,pc01_vd_t_f,pc01_vd_sc_p,pc01_vd_sc_m,pc01_vd_sc_f,pc01_vd_st_p,pc01_vd_st_m,pc01_vd_st_f,pc01_vd_edu_fac,pc01_vd_p_sch,pc01_vd_m_sch,pc01_vd_s_sch,pc01_vd_s_s_sch,pc01_vd_college,pc01_vd_ind_sch,pc01_vd_tr_sch,pc01_vd_adlt_lt_ct,pc01_vd_oth_sch,pc01_vd_medi_fac,pc01_vd_hosp,pc01_vd_all_hosp,pc01_vd_ayu_hosp,pc01_vd_un_hosp,pc01_vd_hom_hosp,pc01_vd_disp_cntr,pc01_vd_all_disp,pc01_vd_ayu_disp,pc01_vd_un_disp,pc01_vd_hom_disp,pc01_vd_mcw_cntr,pc01_vd_m_home,pc01_vd_cwc,pc01_vd_h_cntr,pc01_vd_ph_cntr,pc01_vd_phs_cnt,pc01_vd_fwc_cntr,pc01_vd_tb_cln,pc01_vd_n_home,pc01_vd_rmp,pc01_vd_smp,pc01_vd_chw,pc01_vd_oth_cntr,pc01_vd_tap,pc01_vd_well,pc01_vd_tank,pc01_vd_tubewell,pc01_vd_handpump,pc01_vd_river,pc01_vd_canal,pc01_vd_lake,pc01_vd_spring,pc01_vd_other,pc01_vd_p_t_fac,pc01_vd_post_off,pc01_vd_tele_off,pc01_vd_post_tele,pc01_vd_phone,pc01_vd_comm_fac,pc01_vd_bs_fac,pc01_vd_rs_fac,pc01_vd_nw_fac,pc01_vd_bank_fac,pc01_vd_comm_bank,pc01_vd_coop_bank,pc01_vd_crsoc_fac,pc01_vd_ac_soc,pc01_vd_nac_soc,pc01_vd_other_soc,pc01_vd_rc_fac,pc01_vd_c_v_hall,pc01_vd_sp_cl_fac,pc01_vd_st_au_fac,pc01_vd_app_pr,pc01_vd_app_mr,pc01_vd_app_fp,pc01_vd_app_navriv,pc01_vd_app_navcan,pc01_vd_app_nw,pc01_vd_dist_town,pc01_vd_power_supl,pc01_vd_power_dom,pc01_vd_power_agr,pc01_vd_power_oth,pc01_vd_power_all,pc01_vd_pap_mag,pc01_vd_tot_inc,pc01_vd_tot_exp,pc01_vd_land_fores,pc01_vd_canal_govt,pc01_vd_canal_pvt,pc01_vd_well_wo_el,pc01_vd_tw_wo_el,pc01_vd_tw_w_el,pc01_vd_tank_irr,pc01_vd_river_irr,pc01_vd_lake_irr,pc01_vd_w_fall,pc01_vd_oth_irr,pc01_vd_tot_irr,pc01_vd_un_irr,pc01_vd_cult_waste,pc01_vd_area_na_cu
21,12,0014,9861.0,12236,60516,31036,29480,8564,4322,4242,2996,1543,1453,1.0,53,25,11,2,2,0,0,0,0,1.0,1,1,0,0,0,1,0,0,0,1,1,0,2,0,4,10,2,1,0,0,0,0,0,0,47,47,19,47,5,0,0,0,0,1.0,6,0,2,11,1.0,1.0,,,1.0,1,1,1.0,7.0,0,3,1.0,1,3.0,,1.0,1.0,1.0,,,,0.0,1.0,1.0,,1.0,1.0,2,0.0,0.0,574.9100059701,144.72000122600002,8.859999657,12.670000077000001,0.0,0.0,5.840000153,0.0,0.0,0.0,5.269999981,177.36000156400002,6871.939959462001,496.5599989315,1678.959993191
21,12,0015,88182.0,29652,138881,71119,67762,27226,13915,13311,9041,4640,4401,1.0,98,55,27,1,1,0,1,0,1,1.0,0,0,0,0,0,300,0,3,0,0,0,0,1,0,5,22,1,0,0,2,0,0,0,1,89,37,15,89,6,0,0,0,1,1.0,27,0,1,27,1.0,1.0,,1.0,1.0,6,1,1.0,29.0,12,9,1.0,0,1.0,,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,9725.8401939296,1070.5,68.0,1153.399999976,0.0,0.0,183.80000019099998,1773.87998584,20.0,651.49998857,330.10000038,5251.17996983,16563.77007317,6792.9099806269005,37411.770678630004
21,12,0016,17930.0,9811,46609,23523,23086,5448,2652,2796,2938,1489,1449,1.0,44,23,9,4,4,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,10,1,0,0,0,0,0,0,0,57,2,0,57,0,1,0,0,0,1.0,12,0,1,15,1.0,1.0,,,1.0,2,1,1.0,17.0,0,1,0.0,0,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,,,1.0,2,0.0,0.0,81.0,125.0,0.0,36.0,0.0,0.0,4.050000191,8.070000172,0.0,0.0,35.0,208.120000363,8715.139980542,706.370009815,7909.160032648
21,12,0017,22871.0,27637,134269,69405,64864,24152,12361,11791,7405,3753,3652,1.0,108,49,31,6,3,1,0,0,1,1.0,1,1,0,0,0,200,0,2,0,0,1,0,2,1,2,17,2,0,0,0,0,0,0,2,130,119,0,130,10,10,0,5,19,1.0,25,0,1,33,1.0,1.0,,1.0,1.0,4,2,1.0,10.0,4,14,1.0,1,2.0,,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,1720.3700116302,480.54999924000003,0.0,0.0,0.0,0.0,328.600001276,93.800000191,0.0,0.0,952.6099930049,1855.5599902027,10457.749995144,852.8599991873001,7604.2900092232
21,12,0018,9402.0,10822,51905,26835,25070,10166,5201,4965,1357,707,650,1.0,50,23,11,2,1,1,0,0,0,1.0,0,0,0,0,0,100,0,1,0,0,0,1,1,0,2,7,1,0,0,0,0,0,0,5,67,16,0,69,4,0,0,0,0,1.0,8,0,1,12,1.0,1.0,,1.0,1.0,3,1,1.0,4.0,1,5,0.0,0,,,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,,2,0.0,0.0,657.2800043831002,1136.540014282,0.0,0.0,0.0,0.0,0.0,10.5799996558,0.0,0.0,0.0,1147.1200139378,4276.839966650901,762.7499968380001,2150.0800210095
21,13,0001,61882.0,28562,142812,73399,69413,16932,8742,8190,48445,24688,23757,1.0,113,64,30,2,2,0,0,0,1,1.0,1,1,0,0,0,300,0,3,0,0,1,0,2,0,4,16,2,0,0,2,0,0,1,0,127,78,0,127,18,0,0,6,0,1.0,20,0,3,34,1.0,1.0,,,1.0,5,0,1.0,8.0,0,0,0.0,0,,,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,,1.0,2,0.0,0.0,36101.820948054,1140.4800110259998,0.0,0.0,0.0,6.0,73.17000000350001,111.68999934300001,0.0,0.0,366.9400055599,1708.2800268903,13327.059980575,2958.6900057292,5426.400020078199
21,13,0002,18457.0,11416,57561,29434,28127,8846,4531,4315,23030,11662,11368,1.0,40,24,14,2,2,0,0,0,0,1.0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,40,37,0,43,4,1,0,0,0,1.0,12,0,0,21,1.0,1.0,,,1.0,2,1,1.0,2.0,0,0,0.0,0,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,3027.8000018219996,119.49999904500001,0.0,0.0,0.0,0.0,99.2400004239,0.0,0.0,0.0,54.200000048,272.9400004669,9793.419998180001,1587.85999918,3500.810023747
21,13,0003,6836.0,6941,35996,18425,17571,12407,6319,6088,2679,1357,1322,1.0,35,19,9,0,0,1,0,0,0,1.0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,1,0,37,20,0,41,0,0,0,0,0,1.0,9,0,0,16,1.0,1.0,,,0.0,0,0,1.0,1.0,0,0,0.0,0,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,5.6800000369,0.0,0.0,0.0,0.0,5.6800000369,3904.8699997780004,621.79999973,1087.639997435
21,13,0004,33613.0,26087,138504,70337,68167,36413,18548,17865,9481,4868,4613,1.0,162,94,39,1,1,0,0,0,0,1.0,0,0,0,0,0,101,0,1,0,1,0,0,1,0,5,20,1,0,0,1,0,0,0,0,209,204,0,216,11,0,0,0,0,1.0,33,0,3,91,1.0,1.0,1.0,,1.0,7,0,1.0,11.0,0,5,0.0,0,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,967.590000271,0.0,0.0,75.20000039269999,43.300000139,297.0000012489,424.9400007295,80.95000077,0.0,0.0,306.2899995968,1485.1100006607003,23413.599933661004,4059.4700192697,3060.9400074472
21,13,0005,27365.0,42889,214777,109419,105358,57618,29730,27888,2102,1099,1003,1.0,203,113,54,5,4,0,0,0,2,1.0,0,0,0,0,0,102,0,1,0,2,0,0,1,0,4,34,1,0,0,0,0,0,0,0,236,113,0,250,127,69,0,0,0,1.0,39,0,4,88,1.0,1.0,,1.0,1.0,6,0,1.0,23.0,2,2,1.0,0,10.0,,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,39.7599993831,5510.219988905,0.0,306.990001452,458.24000418699995,568.8999994324,15.680000111599998,385.76999575900004,0.0,0.0,57.81000137,7568.6499951514,12761.8799983472,3008.6300034881,3300.9499986649
